OBS,ID,SAMPL,AGE,SEX,HD,TT,DL,DB,CA,SG,ER,CL,PC
739,380,52,A,M,18,0,0,0,0,0,0,0,0
740,381,52,A,M,0,0,0,0,0,0,0,0,0
741,382,52,A,F,0,0,0,0,0,0,0,0,0
742,383,52,A,F,18,0,0,0,0,0,0,0,0
743,384,52,S,M,23,1,0,0,0,0,0,0,0
744,385,52,A,M,28,5,0,0,0,0,0,0,0
745,386,52,A,M,70,0,0,0,0,0,0,0,0
746,387,52,A,M,0,0,1,0,0,0,0,0,0
747,388,52,A,F,175,4,0,0,0,0,2,0,0
748,390,52,A,F,2,3,0,0,0,0,0,0,0
749,391,52,S,F,3,0,0,0,0,0,0,0,0
750,392,52,A,F,22,5,0,0,0,0,0,0,0
751,393,52,A,M,0,0,0,0,0,0,0,0,0
752,394,52,A,M,39,0,0,0,0,0,0,0,0
753,396,52,A,F,44,1,0,0,0,0,1,0,0
754,397,52,A,M,13,9,0,0,0,0,0,0,0
755,398,52,A,M,30,1,0,0,1,0,0,0,0
756,399,52,A,M,17,0,0,0,0,0,1,0,0
757,400,52,A,F,0,0,0,0,0,0,0,0,0
758,401,52,A,M,109,12,0,0,0,0,1,0,0
186,657,61,A,F,2,0,0,0,0,0,0,0,0
187,659,61,A,F,0,8,3,0,0,0,0,0,0
204,685,61,S,M,3,3,1,0,0,0,0,0,0
205,686,61,A,M,7,12,1,0,0,0,0,0,0
206,687,61,S,M,6,80,4,0,0,0,0,0,0
207,688,61,A,F,0,0,0,0,0,0,0,0,0
208,689,61,S,F,99,0,1,0,0,0,0,0,0
209,690,61,S,F,9,191,1,0,0,0,0,1,0
210,691,61,A,M,1,0,0,0,0,0,0,0,0
211,692,61,A,F,5,1,0,0,0,0,0,0,0
223,707,61,A,F,0,0,0,0,0,0,0,0,0
224,708,61,A,F,0,1,0,0,0,0,0,1,0
225,709,61,A,F,17,10,0,0,0,0,0,0,0
226,710,61,A,F,0,0,0,0,0,0,0,0,0
227,713,61,A,F,70,0,0,0,0,0,2,0,0
231,717,61,A,F,17,0,1,0,0,0,0,0,0
245,746,61,A,M,6,0,0,0,0,0,0,0,0
246,747,61,A,M,0,2,0,0,0,0,0,0,0
254,762,61,S,M,1,255,4,0,0,0,0,0,0
255,763,61,A,F,0,0,1,0,0,0,0,0,0
256,764,61,A,M,16,12,1,0,0,0,0,0,0
257,765,61,A,M,0,0,0,0,0,0,0,0,0
258,767,61,A,M,42,0,0,0,0,1,0,0,0
259,768,61,S,M,71,9,2,0,0,0,0,0,0
260,770,61,A,F,4,0,0,0,0,0,0,0,0
261,771,61,A,M,0,3,1,0,0,0,0,3,0
262,780,61,S,M,134,0,0,0,0,0,0,0,0
263,781,61,S,F,5,0,0,0,0,0,0,0,0
264,783,61,A,M,18,54,0,0,0,0,0,0,0
265,784,61,A,M,11,6,2,0,1,0,0,0,0
266,785,61,A,M,2,8,0,0,0,0,0,0,0
267,787,61,A,M,45,45,1,0,0,0,0,0,0
268,788,61,A,M,1,11,0,0,0,0,0,0,0
269,792,61,A,F,0,0,0,0,0,0,0,0,0
297,832,61,A,M,48,11,0,0,0,0,0,0,0
298,833,61,A,F,1,0,0,0,0,0,0,0,0
299,834,61,A,F,25,0,0,0,0,0,0,0,0
300,835,61,A,F,18,26,1,0,0,0,1,0,0
301,836,61,A,M,0,18,0,0,0,0,0,0,0
302,838,61,A,M,121,110,1,0,0,0,0,0,0
325,885,61,A,M,0,1,0,0,0,0,0,0,0
326,886,61,A,F,0,3,0,0,0,0,0,0,0
327,887,61,A,M,1,5,0,0,0,0,0,0,0
414,721,71,A,M,0,0,0,0,0,0,0,0,0
415,722,71,A,M,38,10,0,0,0,0,0,0,0
416,724,71,A,M,2,0,0,0,0,0,0,0,0
417,727,71,A,M,0,0,0,0,0,0,0,0,0
418,729,71,A,M,5,0,0,0,0,0,0,0,0
419,733,71,A,M,0,0,0,0,0,0,0,0,0
420,734,71,S,M,51,0,0,0,0,0,1,0,0
421,735,71,A,F,15,0,0,0,0,0,0,0,0
422,736,71,A,M,0,0,0,1,0,0,0,0,0
423,737,71,S,M,0,8,0,0,0,0,0,0,0
424,766,71,A,F,66,0,0,0,0,0,0,0,0
425,772,71,A,M,5,3,0,0,0,0,0,0,0
426,773,71,A,M,86,0,1,0,0,0,0,0,0
427,774,71,A,M,88,0,0,0,0,1,0,0,0
428,775,71,A,F,36,0,0,0,1,0,0,0,0
429,776,71,A,F,0,0,0,0,0,0,0,0,0
430,777,71,A,M,3,4,0,0,0,0,0,0,0
431,778,71,A,M,0,5,0,0,0,0,0,0,0
432,779,71,A,F,60,0,0,0,0,0,0,0,0
435,791,71,A,M,80,0,0,0,1,0,0,0,0
463,888,71,A,M,0,0,0,0,0,0,0,0,0
464,889,71,S,F,0,0,0,0,0,0,0,0,0
465,890,71,A,F,0,0,0,0,0,0,0,0,0
466,891,71,A,F,0,12,0,0,0,0,0,0,0
467,893,71,A,F,1,0,0,0,0,0,0,0,0
468,894,71,A,M,0,0,0,0,0,0,2,0,0
469,895,71,A,F,26,2,0,0,0,0,0,0,0
470,896,71,A,M,0,0,0,0,0,0,0,0,0
471,897,71,A,M,0,0,0,0,0,0,2,0,0
472,898,71,S,M,4,0,0,6,0,0,0,0,0
473,899,71,A,M,0,0,0,0,0,0,0,0,0
413,658,72,A,F,0,0,0,0,0,0,0,0,0
433,789,72,A,M,0,7,0,0,0,0,0,0,0
434,790,72,A,F,0,0,0,0,0,3,0,0,0
436,793,72,A,M,4,0,0,0,0,0,0,0,0
437,794,72,A,M,86,0,0,0,0,0,0,0,0
438,795,72,A,F,10,0,1,0,0,0,0,0,0
439,796,72,A,F,0,0,0,0,0,0,1,0,0
440,797,72,A,F,0,0,0,0,0,0,0,0,0
441,798,72,S,M,7,0,0,0,0,0,0,0,0
442,799,72,A,F,0,0,0,0,0,0,0,0,0
443,846,72,A,F,1,0,0,0,0,0,0,0,0
444,847,72,A,F,4,1,0,0,0,0,0,0,0
445,848,72,A,M,0,0,2,0,0,1,0,0,0
446,849,72,A,M,0,0,0,0,0,0,0,0,0
447,850,72,A,M,212,0,0,0,0,0,1,0,0
448,851,72,A,M,1,0,0,0,0,0,0,0,0
449,852,72,A,M,16,0,0,0,0,0,0,0,0
450,853,72,A,M,2,0,0,0,0,0,0,0,0
451,854,72,A,F,210,0,0,0,0,0,0,0,0
452,855,72,A,M,0,0,0,0,0,0,0,0,0
453,856,72,A,M,16,0,0,0,0,0,0,0,0
454,857,72,A,M,0,40,0,0,0,0,0,0,0
455,858,72,S,F,0,0,0,0,0,2,0,0,0
456,859,72,A,M,49,0,0,0,0,0,0,0,0
