Year,Expt/Location,Aerated/Flowthrough/Neither,Temperature,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
2005,H-Times-BottomLab,Neither,10,c22-1,Haustrum haustorium,Check datasheets,24.8,Siphonaria australis,EPFS & ?Lighthouse Reef,8.2,,0,0.038,0,,100,0,,13/06/2005 05:50,,YES,13/06/2005 16:18,,YES,0.44,0.44,0.44,00:00:00,100,1
2005,H-Times-BottomLab,Neither,10,c24-1,Haustrum haustorium,Check datasheets,19.3,Siphonaria australis,EPFS & ?Lighthouse Reef,10.7,,0,0.069,0,,100,0,,13/06/2005 00:00,13/06/2005 09:07,,13/06/2005 12:57,,YES,0.16,0.54,0.35,09:07:00,2.57,0
2005,H-Times-BottomLab,Neither,10,c4-1 (org.64),Haustrum haustorium,Check datasheets,47,Diloma aethiops,EPFS Lab Rocks,9.4,,0,0.368,1,,100,0,,09/06/2005 23:10,10/06/2005 08:15,,10/06/2005 10:10,10/06/2005 11:30,,0.08,0.51,0.3,10:25:00,2.25,0
2005,H-Times-BottomLab,Neither,10,c9-1 (org.55),Haustrum haustorium,Check datasheets,47,Diloma aethiops,EPFS Lab Rocks,14.7,,0,1.649,1,,60,,,09/06/2005 23:10,10/06/2005 08:15,,10/06/2005 20:45,,YES,0.52,0.9,0.71,09:05:00,2.57,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,10.9,,0,0.081,0,,100,0,,29/06/2005 11:50,29/06/2005 12:15,,29/06/2005 13:09,29/06/2005 14:12,,0.04,0.1,0.07,01:28:00,14.06,1
2005,H-Times-TopLab-LowTemp,Aerated,10,c18-1,Haustrum haustorium,Check datasheets,36.3,Siphonaria australis,EPFS & ?Lighthouse Reef,8.2,,0,0.043,0,,100,0,,29/06/2005 12:08,29/06/2005 13:00,,29/06/2005 16:02,29/06/2005 16:51,,0.13,0.2,0.16,01:41:00,12.48,1
2005,H-Times-TopLab-HighTemp,Aerated,19,c9-1,Haustrum haustorium,Check datasheets,39.5,Siphonaria australis,EPFS & ?Lighthouse Reef,13.5,,0,0.131,0,,100,0,,29/06/2005 14:12,29/06/2005 15:14,,29/06/2005 19:51,29/06/2005 21:41,,0.19,0.31,0.25,02:52:00,7.73,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,7,,0,0.024,0,,100,0,,29/06/2005 16:10,29/06/2005 16:56,,29/06/2005 19:51,29/06/2005 21:41,,0.12,0.23,0.18,02:36:00,8.45,0
2005,H-Times-TopLab-LowTemp,Aerated,10,c21-1,Haustrum haustorium,Check datasheets,26.5,Siphonaria australis,EPFS & ?Lighthouse Reef,9.4,,0,0.062,0,,80,0.006,,29/06/2005 16:51,29/06/2005 18:48,,29/06/2005 23:10,30/06/2005 08:33,,0.18,0.65,0.42,11:20:00,2.07,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c20-1,Haustrum haustorium,Check datasheets,21.4,Patelloida corticata,?Lighthouse Reef,8.1,,0,0.037,0,,100,0,,29/06/2005 11:50,29/06/2005 12:15,,29/06/2005 23:16,30/06/2005 08:44,,0.46,0.87,0.66,09:53:00,2.37,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c7-1,Haustrum haustorium,Check datasheets,30.1,Haustrum scobina,Tauranga Head,12.9,,0,0.285,1,,100,0,,29/06/2005 13:40,29/06/2005 14:12,,29/06/2005 23:16,30/06/2005 08:44,,0.38,0.79,0.59,10:00:00,2.34,0
2005,H-Times-TopLab-HighTemp,Aerated,19,c10-1,Haustrum haustorium,Check datasheets,35.9,Patelloida corticata,?Lighthouse Reef,12.5,,0,0.204,0,,98,0.003,,29/06/2005 15:14,29/06/2005 16:10,,29/06/2005 23:16,30/06/2005 08:44,,0.3,0.73,0.51,10:24:00,2.26,0
