 Beta  Tc  Pc  Ingestion  Digestion
4.3457e-07 1.2703e-03 0.4887 5.0541e-20 4.3716e+01
8.7093e-07 2.5639e-03 0.5149 8.7398e-20 2.8498e+01
8.9616e-07 2.5789e-03 0.5163 8.9383e-20 2.8003e+01
8.8771e-07 2.5739e-03 0.5158 8.8719e-20 2.8166e+01
8.5007e-07 2.5512e-03 0.5136 8.5746e-20 2.8926e+01
8.7758e-07 2.5679e-03 0.5152 8.7922e-20 2.8365e+01
9.1186e-07 2.5881e-03 0.5050 9.0613e-20 2.7705e+01
1.1558e-06 3.1050e-03 0.5172 1.0919e-19 2.3949e+01
1.1044e-06 3.0763e-03 0.5255 1.0535e-19 2.4628e+01
1.1064e-06 3.0774e-03 0.5255 1.0550e-19 2.4601e+01
1.1186e-06 3.0843e-03 0.5261 1.0642e-19 2.4435e+01
1.1129e-06 3.0811e-03 0.5258 1.0599e-19 2.4513e+01
1.1493e-06 3.1014e-03 0.5169 1.0870e-19 2.4032e+01
2.9051e-06 0.0000e+00 0.0000 3.4742e-18 2.3352e+02
5.3849e-07 0.0000e+00 0.0000 8.7157e-19 6.8789e+02
1.0678e-06 0.0000e+00 0.0000 1.5365e-18 4.4172e+02
1.3527e-06 0.0000e+00 0.0000 1.8656e-18 3.7958e+02
5.2233e-07 0.0000e+00 0.0000 8.4968e-19 7.0169e+02
3.9050e-08 0.0000e+00 0.0000 9.1353e-21 1.6636e+02
9.6677e-09 0.0000e+00 0.0000 2.8976e-21 4.0799e+02
1.3065e-07 3.2418e-03 0.6768 2.1096e-21 9.5386e+00
5.5875e-12 3.2071e-05 0.6350 4.1133e-27 2.3018e+01
5.5875e-12 3.2071e-05 0.6350 4.1133e-27 2.3018e+01
2.1879e-09 9.1891e-04 0.5159 6.8084e-24 6.1817e+00
2.1879e-09 9.1891e-04 0.5159 6.8084e-24 6.1817e+00
2.1879e-09 9.1891e-04 0.5159 6.8084e-24 6.1817e+00
2.1879e-09 9.1891e-04 0.5159 6.8084e-24 6.1817e+00
2.1879e-09 9.1891e-04 0.5159 6.8084e-24 6.1817e+00
2.2969e-09 1.1486e-04 0.5443 2.5549e-23 2.3198e+01
2.2969e-09 1.1486e-04 0.5443 2.5549e-23 2.3198e+01
2.2969e-09 1.1486e-04 0.5443 2.5549e-23 2.3198e+01
2.2969e-09 1.1486e-04 0.5443 2.5549e-23 2.3198e+01
2.2969e-09 1.1486e-04 0.5443 2.5549e-23 2.3198e+01
2.3519e-09 2.7567e-03 0.6688 3.9489e-23 3.5854e+01
2.3519e-09 2.7567e-03 0.6688 3.9489e-23 3.5854e+01
2.3519e-09 2.7567e-03 0.6688 3.9489e-23 3.5854e+01
2.3519e-09 2.7567e-03 0.6688 3.9489e-23 3.5854e+01
2.3519e-09 2.7567e-03 0.6688 3.9489e-23 3.5854e+01
2.2068e-08 1.9118e-03 0.5166 3.3397e-23 1.7845e+00
2.2068e-08 1.9118e-03 0.5166 3.3397e-23 1.7845e+00
2.2068e-08 1.9118e-03 0.5166 3.3397e-23 1.7845e+00
2.2068e-08 1.9118e-03 0.5166 3.3397e-23 1.7845e+00
2.2068e-08 1.9118e-03 0.5166 3.3397e-23 1.7845e+00
2.2335e-08 1.5642e-03 0.5205 1.2533e-22 6.6967e+00
2.2335e-08 1.5642e-03 0.5205 1.2533e-22 6.6967e+00
2.2335e-08 1.5642e-03 0.5205 1.2533e-22 6.6967e+00
2.2335e-08 1.5642e-03 0.5205 1.2533e-22 6.6967e+00
2.2335e-08 1.5642e-03 0.5205 1.2533e-22 6.6967e+00
2.2470e-08 2.2594e-03 0.6677 1.9370e-22 1.0350e+01
2.2470e-08 2.2594e-03 0.6677 1.9370e-22 1.0350e+01
2.2470e-08 2.2594e-03 0.6677 1.9370e-22 1.0350e+01
2.2470e-08 2.2594e-03 0.6677 1.9370e-22 1.0350e+01
2.2470e-08 2.2594e-03 0.6677 1.9370e-22 1.0350e+01
7.2318e-08 2.4353e-03 0.4996 8.4602e-23 8.6329e-01
7.2318e-08 2.4353e-03 0.4996 8.4602e-23 8.6329e-01
7.2318e-08 2.4353e-03 0.4996 8.4602e-23 8.6329e-01
7.2318e-08 2.4353e-03 0.4996 8.4602e-23 8.6329e-01
7.2318e-08 2.4353e-03 0.4996 8.4602e-23 8.6329e-01
7.2859e-08 2.2139e-03 0.5007 3.1748e-22 3.2396e+00
7.2859e-08 2.2139e-03 0.5007 3.1748e-22 3.2396e+00
7.2859e-08 2.2139e-03 0.5007 3.1748e-22 3.2396e+00
7.2859e-08 2.2139e-03 0.5007 3.1748e-22 3.2396e+00
7.2859e-08 2.2139e-03 0.5007 3.1748e-22 3.2396e+00
7.3133e-08 2.6567e-03 0.6695 4.9069e-22 5.0071e+00
7.3133e-08 2.6567e-03 0.6695 4.9069e-22 5.0071e+00
7.3133e-08 2.6567e-03 0.6695 4.9069e-22 5.0071e+00
7.3133e-08 2.6567e-03 0.6695 4.9069e-22 5.0071e+00
7.3133e-08 2.6567e-03 0.6695 4.9069e-22 5.0071e+00
1.6891e-07 5.7895e-03 0.6307 1.6428e-22 5.1404e-01
1.6891e-07 5.7895e-03 0.6307 1.6428e-22 5.1404e-01
1.6891e-07 5.7895e-03 0.6307 1.6428e-22 5.1404e-01
1.6891e-07 5.7895e-03 0.6307 1.6428e-22 5.1404e-01
1.6891e-07 5.7895e-03 0.6307 1.6428e-22 5.1404e-01
1.6980e-07 2.8948e-03 0.5100 6.1648e-22 1.9290e+00
1.6980e-07 2.8948e-03 0.5100 6.1648e-22 1.9290e+00
1.6980e-07 2.8948e-03 0.5100 6.1648e-22 1.9290e+00
1.6980e-07 2.8948e-03 0.5100 6.1648e-22 1.9290e+00
1.6980e-07 2.8948e-03 0.5100 6.1648e-22 1.9290e+00
1.7025e-07 3.1579e-03 0.6782 9.5283e-22 2.9814e+00
1.7025e-07 3.1579e-03 0.6782 9.5283e-22 2.9814e+00
1.7025e-07 3.1579e-03 0.6782 9.5283e-22 2.9814e+00
1.7025e-07 3.1579e-03 0.6782 9.5283e-22 2.9814e+00
1.7025e-07 3.1579e-03 0.6782 9.5283e-22 2.9814e+00
2.3579e-07 5.6332e-03 0.6243 2.1325e-22 4.1926e-01
2.3579e-07 5.6332e-03 0.6243 2.1325e-22 4.1926e-01
2.3579e-07 5.6332e-03 0.6243 2.1325e-22 4.1926e-01
2.3579e-07 5.6332e-03 0.6243 2.1325e-22 4.1926e-01
2.3579e-07 5.6332e-03 0.6243 2.1325e-22 4.1926e-01
2.3688e-07 3.0983e-03 0.5064 8.0025e-22 1.5733e+00
2.3688e-07 3.0983e-03 0.5064 8.0025e-22 1.5733e+00
2.3688e-07 3.0983e-03 0.5064 8.0025e-22 1.5733e+00
2.3688e-07 3.0983e-03 0.5064 8.0025e-22 1.5733e+00
2.3688e-07 3.0983e-03 0.5064 8.0025e-22 1.5733e+00
2.3743e-07 3.3799e-03 0.6817 1.2368e-21 2.4317e+00
2.3743e-07 3.3799e-03 0.6817 1.2368e-21 2.4317e+00
2.3743e-07 3.3799e-03 0.6817 1.2368e-21 2.4317e+00
2.3743e-07 3.3799e-03 0.6817 1.2368e-21 2.4317e+00
2.3743e-07 3.3799e-03 0.6817 1.2368e-21 2.4317e+00
4.8411e-12 0.0000e+00 0.0000 6.6936e-26 8.4319e+02
4.8411e-12 0.0000e+00 0.0000 6.6936e-26 8.4319e+02
4.8411e-12 0.0000e+00 0.0000 6.6936e-26 8.4319e+02
4.8411e-12 0.0000e+00 0.0000 6.6936e-26 8.4319e+02
4.8411e-12 0.0000e+00 0.0000 6.6936e-26 8.4319e+02
5.1358e-12 0.0000e+00 0.0000 9.0075e-26 1.1347e+03
5.1358e-12 0.0000e+00 0.0000 9.0075e-26 1.1347e+03
5.1358e-12 0.0000e+00 0.0000 9.0075e-26 1.1347e+03
5.1358e-12 0.0000e+00 0.0000 9.0075e-26 1.1347e+03
5.1358e-12 0.0000e+00 0.0000 9.0075e-26 1.1347e+03
5.1358e-12 0.0000e+00 0.0000 9.0075e-26 1.1347e+03
