Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
1.4438e-10 1.5593e-07 3.2544e-04 3.3273e-07 6.9551e-03 5.7383e-01 1.0439e-15 1.0897e-31 1.9180e-05 1.5097e-01 1.0683e-07
2.7159e-10 2.9332e-07 4.0174e-04 5.0703e-07 8.1452e-03 1.0794e+00 1.9146e-15 3.6658e-31 2.6141e-05 1.7752e-01 2.3518e-07
2.7159e-10 2.9332e-07 4.0174e-04 5.0703e-07 8.1452e-03 1.0794e+00 1.9146e-15 3.6658e-31 2.6141e-05 1.7752e-01 2.3518e-07
1.4438e-10 1.5593e-07 3.2544e-04 3.3273e-07 6.9551e-03 5.7383e-01 1.0439e-15 1.0897e-31 1.9180e-05 1.5097e-01 1.0683e-07
2.7159e-10 2.9332e-07 4.0174e-04 5.0703e-07 8.1452e-03 1.0794e+00 1.9146e-15 3.6658e-31 2.6141e-05 1.7752e-01 2.3518e-07
1.0065e-07 1.0870e-04 2.8856e-03 2.6159e-05 3.5738e-02 4.0002e+02 5.6004e-13 3.1365e-26 4.7432e-04 1.0711e+00 4.7756e-04
1.0065e-07 1.0870e-04 2.8856e-03 2.6159e-05 3.5738e-02 4.0002e+02 5.6004e-13 3.1365e-26 4.7432e-04 1.0711e+00 4.7756e-04
6.0188e-08 6.5003e-05 2.4311e-03 1.8568e-05 3.1427e-02 2.3921e+02 3.4186e-13 1.1687e-26 3.6869e-04 9.4209e-01 2.5113e-04
6.1632e-08 6.6562e-05 2.4504e-03 1.8864e-05 3.1614e-02 2.4495e+02 3.4974e-13 1.2232e-26 3.7299e-04 9.4768e-01 2.5869e-04
6.1632e-08 6.6562e-05 2.4504e-03 1.8864e-05 3.1614e-02 2.4495e+02 3.4974e-13 1.2232e-26 3.7299e-04 9.4768e-01 2.5869e-04
1.4166e-09 1.5299e-06 6.9670e-04 1.5249e-06 1.2309e-02 5.6300e+00 9.3478e-15 8.7382e-30 5.8722e-05 2.7009e-01 1.8515e-06
3.2253e-09 3.4833e-06 9.1656e-04 2.6392e-06 1.5121e-02 1.2819e+01 2.0595e-14 4.2414e-29 8.7882e-05 3.3241e-01 5.1770e-06
3.3519e-10 3.6200e-07 4.3092e-04 5.8337e-07 8.5851e-03 1.3322e+00 2.3432e-15 5.4904e-31 2.8979e-05 1.8732e-01 3.0581e-07
1.2407e-09 1.3399e-06 6.6659e-04 1.3959e-06 1.1908e-02 4.9310e+00 8.2308e-15 6.7746e-30 5.5029e-05 2.6119e-01 1.5690e-06
1.4166e-09 1.5299e-06 6.9670e-04 1.5249e-06 1.2309e-02 5.6300e+00 9.3478e-15 8.7382e-30 5.8722e-05 2.7009e-01 1.8515e-06
3.2253e-09 3.4833e-06 9.1656e-04 2.6392e-06 1.5121e-02 1.2819e+01 2.0595e-14 4.2414e-29 8.7882e-05 3.3241e-01 5.1770e-06
3.3519e-10 3.6200e-07 4.3092e-04 5.8337e-07 8.5851e-03 1.3322e+00 2.3432e-15 5.4904e-31 2.8979e-05 1.8732e-01 3.0581e-07
