Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
1.0519e-04 1.1360e-01 2.9284e-02 2.6940e-03 2.0320e-01 4.1806e+05 4.4322e-10 1.9644e-20 1.4304e-02 2.2872e-01 1.0782e-02
6.4278e-07 6.9420e-04 5.3537e-03 9.0046e-05 5.6812e-02 2.5547e+03 3.3210e-12 1.1029e-24 1.1767e-03 6.7497e-02 1.6054e-05
6.4278e-07 6.9420e-04 5.3537e-03 9.0046e-05 5.6812e-02 2.5547e+03 3.3210e-12 1.1029e-24 1.1767e-03 6.7497e-02 1.6054e-05
1.7930e-06 1.9364e-03 7.5363e-03 1.7843e-04 7.3420e-02 7.1260e+03 8.8911e-12 7.9052e-24 1.9451e-03 8.2689e-02 5.3621e-05
3.7125e-06 4.0095e-03 9.6056e-03 2.8987e-04 8.8073e-02 1.4755e+04 1.7882e-11 3.1975e-23 2.7787e-03 9.4256e-02 1.2207e-04
6.5290e-06 7.0514e-03 1.1595e-02 4.2234e-04 1.0142e-01 2.5949e+04 3.0746e-11 9.4529e-23 3.6642e-03 1.3185e-01 3.4534e-04
1.0356e-05 1.1184e-02 1.3522e-02 5.7439e-04 1.1382e-01 4.1157e+04 4.7874e-11 2.2919e-22 4.5934e-03 1.2867e-01 4.4828e-04
1.5295e-05 1.6519e-02 1.5399e-02 7.4495e-04 1.2548e-01 6.0789e+04 6.9614e-11 4.8461e-22 5.5607e-03 1.4504e-01 8.8071e-04
2.1442e-05 2.3158e-02 1.7234e-02 9.3313e-04 1.3653e-01 8.5221e+04 9.6283e-11 9.2704e-22 6.5618e-03 1.4710e-01 1.1148e-03
2.8886e-05 3.1197e-02 1.9034e-02 1.1382e-03 1.4709e-01 1.1480e+05 1.2817e-10 1.6428e-21 7.5934e-03 1.6544e-01 1.9578e-03
3.7710e-05 4.0727e-02 2.0803e-02 1.3595e-03 1.5723e-01 1.4987e+05 1.6555e-10 2.7406e-21 8.6529e-03 1.7424e-01 2.6050e-03
1.0519e-04 1.1360e-01 2.9284e-02 2.6940e-03 2.0320e-01 4.1806e+05 4.4322e-10 1.9644e-20 1.4304e-02 2.2872e-01 1.0782e-02
3.7125e-06 4.0095e-03 9.6056e-03 2.8987e-04 8.8073e-02 1.4755e+04 1.7882e-11 3.1975e-23 2.7787e-03 9.4256e-02 1.2207e-04
6.5290e-06 7.0514e-03 1.1595e-02 4.2234e-04 1.0142e-01 2.5949e+04 3.0746e-11 9.4529e-23 3.6642e-03 1.3185e-01 3.4534e-04
1.0356e-05 1.1184e-02 1.3522e-02 5.7439e-04 1.1382e-01 4.1157e+04 4.7874e-11 2.2919e-22 4.5934e-03 1.2867e-01 4.4828e-04
1.5295e-05 1.6519e-02 1.5399e-02 7.4495e-04 1.2548e-01 6.0789e+04 6.9614e-11 4.8461e-22 5.5607e-03 1.4504e-01 8.8071e-04
2.1442e-05 2.3158e-02 1.7234e-02 9.3313e-04 1.3653e-01 8.5221e+04 9.6283e-11 9.2704e-22 6.5618e-03 1.4710e-01 1.1148e-03
2.8886e-05 3.1197e-02 1.9034e-02 1.1382e-03 1.4709e-01 1.1480e+05 1.2817e-10 1.6428e-21 7.5934e-03 1.6544e-01 1.9578e-03
3.7710e-05 4.0727e-02 2.0803e-02 1.3595e-03 1.5723e-01 1.4987e+05 1.6555e-10 2.7406e-21 8.6529e-03 1.7424e-01 2.6050e-03
1.0519e-04 1.1360e-01 2.9284e-02 2.6940e-03 2.0320e-01 4.1806e+05 4.4322e-10 1.9644e-20 1.4304e-02 2.2872e-01 1.0782e-02
2.1871e-07 2.3621e-04 3.7376e-03 4.3887e-05 4.3390e-02 8.6925e+02 1.1798e-12 1.3919e-25 6.9380e-04 5.2603e-02 4.1652e-06
2.1871e-07 2.3621e-04 3.7376e-03 4.3887e-05 4.3390e-02 8.6925e+02 1.1798e-12 1.3919e-25 6.9380e-04 5.2603e-02 4.1652e-06
2.1871e-07 2.3621e-04 3.7376e-03 4.3887e-05 4.3390e-02 8.6925e+02 1.1798e-12 1.3919e-25 6.9380e-04 5.2603e-02 4.1652e-06
2.1871e-07 2.3621e-04 3.7376e-03 4.3887e-05 4.3390e-02 8.6925e+02 1.1798e-12 1.3919e-25 6.9380e-04 5.2603e-02 4.1652e-06
3.7037e-11 4.0000e-08 2.0678e-04 1.3433e-07 4.9497e-03 1.4720e-01 2.8276e-16 7.9953e-33 9.8476e-06 2.9326e-03 2.5116e-09
3.7037e-10 4.0000e-07 4.4550e-04 6.2352e-07 8.8020e-03 1.4720e+00 2.5788e-15 6.6502e-31 3.0432e-05 8.2272e-03 3.7121e-09
1.8519e-10 2.0000e-07 3.5359e-04 3.9279e-07 7.4016e-03 7.3600e-01 1.3257e-15 1.7574e-31 2.1668e-05 6.4889e-03 3.8676e-09
7.4074e-10 8.0000e-07 5.6130e-04 9.8977e-07 1.0467e-02 2.9440e+00 5.0166e-15 2.5166e-30 4.2740e-05 7.9513e-03 3.8721e-09
5.5556e-11 6.0000e-08 2.3671e-04 1.7603e-07 5.4778e-03 2.2080e-01 4.1732e-16 1.7415e-32 1.2012e-05 3.6994e-03 4.4161e-09
7.4074e-11 8.0000e-08 2.6053e-04 2.1324e-07 5.8863e-03 2.9440e-01 5.5006e-16 3.0256e-32 1.3830e-05 4.2177e-03 2.8108e-09
7.4074e-10 8.0000e-07 5.6130e-04 9.8977e-07 1.0467e-02 2.9440e+00 5.0166e-15 2.5166e-30 4.2740e-05 7.9513e-03 3.8721e-09
1.8519e-10 2.0000e-07 3.5359e-04 3.9279e-07 7.4016e-03 7.3600e-01 1.3257e-15 1.7574e-31 2.1668e-05 6.4889e-03 3.8676e-09
7.4074e-11 8.0000e-08 2.6053e-04 2.1324e-07 5.8863e-03 2.9440e-01 5.5006e-16 3.0256e-32 1.3830e-05 4.2177e-03 2.8108e-09
5.5556e-11 6.0000e-08 2.3671e-04 1.7603e-07 5.4778e-03 2.2080e-01 4.1732e-16 1.7415e-32 1.2012e-05 3.6994e-03 4.4161e-09
3.7037e-10 4.0000e-07 4.4550e-04 6.2352e-07 8.8020e-03 1.4720e+00 2.5788e-15 6.6502e-31 3.0432e-05 8.2272e-03 3.7121e-09
3.7037e-11 4.0000e-08 2.0678e-04 1.3433e-07 4.9497e-03 1.4720e-01 2.8276e-16 7.9953e-33 9.8476e-06 2.9326e-03 2.5116e-09
7.4074e-10 8.0000e-07 5.6130e-04 9.8977e-07 1.0467e-02 2.9440e+00 5.0166e-15 2.5166e-30 4.2740e-05 7.9513e-03 3.8721e-09
3.7037e-11 4.0000e-08 2.0678e-04 1.3433e-07 4.9497e-03 1.4720e-01 2.8276e-16 7.9953e-33 9.8476e-06 2.9326e-03 2.5116e-09
5.5556e-11 6.0000e-08 2.3671e-04 1.7603e-07 5.4778e-03 2.2080e-01 4.1732e-16 1.7415e-32 1.2012e-05 3.6994e-03 4.4161e-09
3.7037e-10 4.0000e-07 4.4550e-04 6.2352e-07 8.8020e-03 1.4720e+00 2.5788e-15 6.6502e-31 3.0432e-05 8.2272e-03 3.7121e-09
1.8519e-10 2.0000e-07 3.5359e-04 3.9279e-07 7.4016e-03 7.3600e-01 1.3257e-15 1.7574e-31 2.1668e-05 6.4889e-03 3.8676e-09
7.4074e-11 8.0000e-08 2.6053e-04 2.1324e-07 5.8863e-03 2.9440e-01 5.5006e-16 3.0256e-32 1.3830e-05 4.2177e-03 2.8108e-09
5.0093e-06 5.4100e-03 1.0614e-02 3.5395e-04 9.4922e-02 1.9909e+04 2.3840e-11 5.6835e-23 3.2180e-03 1.0056e-01 1.7856e-04
7.9325e-06 8.5671e-03 1.2372e-02 4.8087e-04 1.0648e-01 3.1527e+04 3.7065e-11 1.3738e-22 4.0310e-03 2.7324e-01 3.0552e-03
7.9325e-06 8.5671e-03 1.2372e-02 4.8087e-04 1.0648e-01 3.1527e+04 3.7065e-11 1.3738e-22 4.0310e-03 2.7324e-01 3.0552e-03
9.0953e-06 9.8230e-03 1.2949e-02 5.2679e-04 1.1019e-01 3.6148e+04 4.2266e-11 1.7864e-22 4.3104e-03 1.8671e-01 1.0819e-03
9.0953e-06 9.8230e-03 1.2949e-02 5.2679e-04 1.1019e-01 3.6148e+04 4.2266e-11 1.7864e-22 4.3104e-03 1.8671e-01 1.0819e-03
2.3148e-09 2.5000e-06 8.2062e-04 2.1156e-06 1.3917e-02 9.2000e+00 1.4978e-14 2.2435e-29 7.4698e-05 1.2248e-02 1.0396e-08
2.3148e-09 2.5000e-06 8.2062e-04 2.1156e-06 1.3917e-02 9.2000e+00 1.4978e-14 2.2435e-29 7.4698e-05 1.2248e-02 1.0396e-08
2.3148e-09 2.5000e-06 8.2062e-04 2.1156e-06 1.3917e-02 9.2000e+00 1.4978e-14 2.2435e-29 7.4698e-05 1.2248e-02 1.0396e-08
2.3148e-09 2.5000e-06 8.2062e-04 2.1156e-06 1.3917e-02 9.2000e+00 1.4978e-14 2.2435e-29 7.4698e-05 1.2248e-02 1.0396e-08
6.4278e-07 6.9420e-04 5.3537e-03 9.0046e-05 5.6812e-02 2.5547e+03 3.3210e-12 1.1029e-24 1.1767e-03 6.7497e-02 1.6054e-05
1.7930e-06 1.9364e-03 7.5363e-03 1.7843e-04 7.3420e-02 7.1260e+03 8.8911e-12 7.9052e-24 1.9451e-03 8.2689e-02 5.3621e-05
3.7125e-06 4.0095e-03 9.6056e-03 2.8987e-04 8.8073e-02 1.4755e+04 1.7882e-11 3.1975e-23 2.7787e-03 9.4256e-02 1.2207e-04
1.1129e-07 1.2019e-04 2.9839e-03 2.7972e-05 3.6647e-02 4.4231e+02 6.1677e-13 3.8041e-26 4.9827e-04 3.9345e-02 7.5223e-06
6.4278e-07 6.9420e-04 5.3537e-03 9.0046e-05 5.6812e-02 2.5547e+03 3.3210e-12 1.1029e-24 1.1767e-03 6.7497e-02 1.6054e-05
1.7930e-06 1.9364e-03 7.5363e-03 1.7843e-04 7.3420e-02 7.1260e+03 8.8911e-12 7.9052e-24 1.9451e-03 8.2689e-02 5.3621e-05
3.7125e-06 4.0095e-03 9.6056e-03 2.8987e-04 8.8073e-02 1.4755e+04 1.7882e-11 3.1975e-23 2.7787e-03 9.4256e-02 1.2207e-04
1.1129e-07 1.2019e-04 2.9839e-03 2.7972e-05 3.6647e-02 4.4231e+02 6.1677e-13 3.8041e-26 4.9827e-04 3.9345e-02 7.5223e-06
3.1043e-07 3.3527e-04 4.2004e-03 5.5429e-05 4.7360e-02 1.2338e+03 1.6513e-12 2.7266e-25 8.2369e-04 5.7137e-02 6.4540e-06
6.4278e-07 6.9420e-04 5.3537e-03 9.0046e-05 5.6812e-02 2.5547e+03 3.3210e-12 1.1029e-24 1.1767e-03 6.7497e-02 1.6054e-05
1.7930e-06 1.9364e-03 7.5363e-03 1.7843e-04 7.3420e-02 7.1260e+03 8.8911e-12 7.9052e-24 1.9451e-03 8.2689e-02 5.3621e-05
3.7125e-06 4.0095e-03 9.6056e-03 2.8987e-04 8.8073e-02 1.4755e+04 1.7882e-11 3.1975e-23 2.7787e-03 9.4256e-02 1.2207e-04
1.1129e-07 1.2019e-04 2.9839e-03 2.7972e-05 3.6647e-02 4.4231e+02 6.1677e-13 3.8041e-26 4.9827e-04 3.9345e-02 7.5223e-06
3.1043e-07 3.3527e-04 4.2004e-03 5.5429e-05 4.7360e-02 1.2338e+03 1.6513e-12 2.7266e-25 8.2369e-04 5.7137e-02 6.4540e-06
4.1644e-05 4.4975e-02 2.1502e-02 1.4525e-03 1.6118e-01 1.6551e+05 1.8209e-10 3.3158e-21 9.0840e-03 1.7913e-01 3.0392e-03
4.3491e-05 4.6971e-02 2.1816e-02 1.4952e-03 1.6294e-01 1.7285e+05 1.8984e-10 3.6040e-21 9.2793e-03 1.8115e-01 3.2386e-03
4.0240e-05 4.3459e-02 2.1258e-02 1.4197e-03 1.5980e-01 1.5993e+05 1.7620e-10 3.1045e-21 8.9327e-03 1.7688e-01 2.8350e-03
3.5275e-06 3.8097e-03 9.4434e-03 2.8016e-04 8.6954e-02 1.4020e+04 1.7025e-11 2.8986e-23 2.7099e-03 9.3343e-02 1.1497e-04
4.4962e-05 4.8559e-02 2.2059e-02 1.5287e-03 1.6430e-01 1.7870e+05 1.9600e-10 3.8417e-21 9.4318e-03 1.8277e-01 3.4091e-03
2.7641e-13 2.9852e-10 4.0410e-05 5.1301e-09 1.4548e-03 1.0986e-03 2.5669e-18 6.5892e-37 8.9342e-07 1.3326e-04 1.7778e-12
7.5599e-08 8.1647e-05 2.6231e-03 2.1616e-05 3.3270e-02 3.0046e+02 4.2550e-13 1.8105e-26 4.1226e-04 3.4733e-02 1.8211e-06
7.5599e-08 8.1647e-05 2.6231e-03 2.1616e-05 3.3270e-02 3.0046e+02 4.2550e-13 1.8105e-26 4.1226e-04 3.4733e-02 1.8211e-06
7.5599e-08 8.1647e-05 2.6231e-03 2.1616e-05 3.3270e-02 3.0046e+02 4.2550e-13 1.8105e-26 4.1226e-04 3.4733e-02 1.8211e-06
7.5599e-08 8.1647e-05 2.6231e-03 2.1616e-05 3.3270e-02 3.0046e+02 4.2550e-13 1.8105e-26 4.1226e-04 3.4733e-02 1.8211e-06
2.6131e-08 2.8221e-05 1.8409e-03 1.0646e-05 2.5510e-02 1.0385e+02 1.5346e-13 2.3550e-27 2.4496e-04 2.7824e-02 4.8397e-07
7.5599e-08 8.1647e-05 2.6231e-03 2.1616e-05 3.3270e-02 3.0046e+02 4.2550e-13 1.8105e-26 4.1226e-04 3.4733e-02 1.8211e-06
7.5599e-08 8.1647e-05 2.6231e-03 2.1616e-05 3.3270e-02 3.0046e+02 4.2550e-13 1.8105e-26 4.1226e-04 3.4733e-02 1.8211e-06
