Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
1.8750e-11 2.0250e-08 1.6481e-04 8.5328e-08 4.1752e-03 7.4520e-02 1.4710e-16 2.1638e-33 7.0545e-06 1.9611e-03 9.6386e-10
1.5854e-10 1.7123e-07 3.3575e-04 3.5415e-07 7.1197e-03 6.3012e-01 1.1420e-15 1.3042e-31 2.0080e-05 5.9997e-03 3.1763e-09
7.4074e-11 8.0000e-08 2.6053e-04 2.1324e-07 5.8863e-03 2.9440e-01 5.5006e-16 3.0256e-32 1.3830e-05 4.2177e-03 2.8108e-09
7.4074e-11 8.0000e-08 2.6053e-04 2.1324e-07 5.8863e-03 2.9440e-01 5.5006e-16 3.0256e-32 1.3830e-05 4.2177e-03 2.8108e-09
7.4074e-11 8.0000e-08 2.6053e-04 2.1324e-07 5.8863e-03 2.9440e-01 5.5006e-16 3.0256e-32 1.3830e-05 4.2177e-03 2.8108e-09
8.3333e-10 9.0000e-07 5.8377e-04 1.0706e-06 1.0780e-02 3.3120e+00 5.6171e-15 3.1552e-30 4.5279e-05 9.7233e-03 4.1078e-09
8.3333e-10 9.0000e-07 5.8377e-04 1.0706e-06 1.0780e-02 3.3120e+00 5.6171e-15 3.1552e-30 4.5279e-05 9.7233e-03 4.1078e-09
8.3333e-10 9.0000e-07 5.8377e-04 1.0706e-06 1.0780e-02 3.3120e+00 5.6171e-15 3.1552e-30 4.5279e-05 9.7233e-03 4.1078e-09
8.3333e-10 9.0000e-07 5.8377e-04 1.0706e-06 1.0780e-02 3.3120e+00 5.6171e-15 3.1552e-30 4.5279e-05 9.7233e-03 4.1078e-09
8.3333e-10 9.0000e-07 5.8377e-04 1.0706e-06 1.0780e-02 3.3120e+00 5.6171e-15 3.1552e-30 4.5279e-05 9.7233e-03 4.1078e-09
8.3333e-10 9.0000e-07 5.8377e-04 1.0706e-06 1.0780e-02 3.3120e+00 5.6171e-15 3.1552e-30 4.5279e-05 9.7233e-03 4.1078e-09
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
6.5335e-08 7.0562e-05 2.4985e-03 1.9612e-05 3.2078e-02 2.5967e+02 3.6989e-13 1.3682e-26 3.8381e-04 2.9593e-02 7.3549e-07
2.4523e-08 2.6485e-05 1.8023e-03 1.0205e-05 2.5108e-02 9.7464e+01 1.4438e-13 2.0847e-27 2.3746e-04 3.2657e-02 4.8687e-07
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.0491e-10 1.1331e-07 2.9258e-04 2.6894e-07 6.4215e-03 4.1697e-01 7.6830e-16 5.9028e-32 1.6402e-05 5.0890e-03 4.4623e-09
1.4164e-07 1.5297e-04 3.2337e-03 3.2851e-05 3.8924e-02 5.6293e+02 7.7743e-13 6.0439e-26 5.6076e-04 3.5610e-02 1.9997e-06
2.4909e-07 2.6902e-04 3.9032e-03 4.7863e-05 4.4824e-02 9.8999e+02 1.3367e-12 1.7868e-25 7.3946e-04 7.8581e-02 1.3774e-05
3.9508e-07 4.2669e-04 4.5520e-03 6.5095e-05 5.0303e-02 1.5702e+03 2.0814e-12 4.3321e-25 9.2699e-04 6.0429e-02 8.7291e-06
5.8353e-07 6.3022e-04 5.1839e-03 8.4424e-05 5.5455e-02 2.3192e+03 3.0266e-12 9.1601e-25 1.1222e-03 6.6045e-02 1.4224e-05
8.1806e-07 8.8350e-04 5.8018e-03 1.0575e-04 6.0342e-02 3.2513e+03 4.1860e-12 1.7523e-24 1.3242e-03 7.1003e-02 2.1480e-05
1.1020e-06 1.1902e-03 6.4077e-03 1.2899e-04 6.5009e-02 4.3800e+03 5.5724e-12 3.1051e-24 1.5324e-03 7.5852e-02 3.1246e-05
